from,to,distance_km,predicted_flow,estimated_speed_kmh,travel_time_sec
2457,36422,0.001,800,53.86,30.04
2457,27709,0.005,800,53.86,30.36
2458,23287,0.005,800,53.86,30.36
2458,42592,0.005,800,53.86,30.36
2460,35018,0.0,800,53.86,30.01
2460,19925,0.144,800,53.86,39.62
2461,23693,0.009,800,53.86,30.61
2461,16268,0.02,800,53.86,31.32
2463,56445,0.019,800,53.86,31.26
2463,36567,0.027,800,53.86,31.81
2466,46393,0.011,800,53.86,30.74
2466,50899,0.016,800,53.86,31.1
2472,38408,0.01,800,53.86,30.69
2472,32684,0.025,800,53.86,31.66
2475,40788,0.084,800,53.86,35.58
2475,16431,0.134,800,53.86,38.93
2478,48861,0.012,800,53.86,30.8
2478,1480,0.016,800,53.86,31.08
2480,47562,0.009,800,53.86,30.62
2480,15409,0.055,800,53.86,33.66
2481,36468,0.011,800,53.86,30.76
2481,7473,0.031,800,53.86,32.06
2487,11058,0.021,800,53.86,31.38
2487,3283,0.021,800,53.86,31.38
2490,35481,0.023,800,53.86,31.55
2490,19468,0.101,800,53.86,36.78
2499,39151,0.015,800,53.86,30.99
2499,22188,0.139,800,53.86,39.28
2501,36529,0.041,800,53.86,32.72
2501,57297,0.112,800,53.86,37.49
2505,12192,0.013,800,53.86,30.86
2505,22749,0.018,800,53.86,31.23
2506,34673,0.0,800,53.86,30.02
2506,29714,0.049,800,53.86,33.25
2508,50338,0.009,800,53.86,30.59
2508,4095,0.024,800,53.86,31.59
2515,19416,0.033,800,53.86,32.18
2515,18982,0.033,800,53.86,32.18
2517,40076,0.007,800,53.86,30.49
2517,590,0.027,800,53.86,31.78
2521,52053,0.002,800,53.86,30.16
2521,18011,0.013,800,53.86,30.85
2524,38032,0.027,800,53.86,31.79
2524,19924,0.027,800,53.86,31.79
2526,4841,0.019,800,53.86,31.29
2526,9356,0.025,800,53.86,31.67
2529,37499,0.043,800,53.86,32.86
2529,18725,0.124,800,53.86,38.3
2538,11435,0.01,800,53.86,30.65
2538,2857,0.013,800,53.86,30.88
2539,14749,0.002,800,53.86,30.13
2539,293,0.177,800,53.86,41.85
2540,39195,0.044,800,53.86,32.96
2540,39422,0.135,800,53.86,39.03
2544,36394,0.025,800,53.86,31.64
2544,44760,0.027,800,53.86,31.78
